date,aq_assets,aq_obl,brent,dum_1114,dum_2012,dum01,dum02,dum03,dum04,dum05,dum06,dum07,dum08,dum09,dum10,dum11,dum12,em_index,gas_europe,gas_lng,n_c,n_ds,n_ex,n_g,n_im,n_j,n_y,p_exp_gas,p_exp_oil,p_exp_op,r_bal_fin,r_bal_inv,r_bal_rent,r_bal_serv,r_bal_sinc,r_bal_trade,r_bal_wage,r_cap_account,r_cur_account,r_cur_purch,r_dif_reserves,r_dum_cur_purch,r_errors,r_exp_all,r_exp_gas,r_exp_goods,r_exp_oil,r_exp_op,r_exp_othg,r_exp_serv,r_imp_all,r_imp_goods,r_imp_serv,r_price_cur_purch,rate_10tr,rate_repo,rub_usd,usd_eur,v_exp_gas,v_exp_oil,v_exp_op,v_prod_gas,v_prod_oil,v_prod_op,vcor,const,brent_1,brent_2,brent_3,brent_4,brent_5,brent_6,gas_europe_1,gas_europe_2,gas_europe_3,gas_lng_1,gas_lng_2,gas_lng_3,gas_lng_4,gas_lng_5,rub_usd_1,rub_usd_2,usd_eur_1,v_prod_op_1,gdp_1,vnok_1,n_ds_1,n_c_1,n_j_1,v_exp_oil_1,p_exp_oil_3,rub_usd_eur_1,r_rent_sinc,dif_usd_rub_ratio,dif_usd_rub_ratio_1,dif_brent,dif_usd_rub,dif_usd_eur,dif_em_index,dif_em_index_ratio,dif_brent_ratio,dif_usd_eur_ratio,dif_r,dif_r_1
2006-01-01,,,63.5742857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.913806583866845,7.96,6.53,1101.96791596428,,745.82445635486,375.359897759691,419.436062083913,377.184629922369,2269.85471227183,0.206083064256559,0.374278018700434,0.390091083268474,,,,,,12.213,,,,0,,0,,,4.31623366,20.524,7.31502042,2.84691831,6.04582761,,,8.311,,0,4.527,6.10090909090909,28.12,1.2152,20.944145389,19.544349533,7.2980860935,60.7789,39.926,18.2092,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57390909090909,
2006-02-01,,,59.923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.910995822130308,7.95,7.04,1101.96791596428,88.9538743545454,745.82445635486,375.359897759691,419.436062083913,377.184629922369,2269.85471227183,0.201592988816756,0.38378009786957,0.390226559086997,,,,,,11.369,,,,0,,0,,,3.88877142,21.449,7.73213243,3.16419389,6.66390226,,,10.08,,0,4.547,6.095,28.12,1.1923,19.2902116429,20.147299125,8.1086072086,55.0392,36.1428,16.5579,2,1,63.5742857142857,,,,,,7.96,,,6.53,,,,,28.12,,1.2152,18.2092,2269.85471227183,377.184629922369,88.9538743545454,1101.96791596428,377.184629922369,19.544349533,,34.171424,,0,,-3.6512857142857,0,-0.0229000000000001,-0.0028107617365376,-0.00307588256219784,-0.0574333737809534,-0.0188446346280449,1.548,1.57390909090909
2006-03-01,,,62.2530434782609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.911873380137599,7.99,6.88,1101.96791596428,88.9538743545454,745.82445635486,375.359897759691,419.436062083913,377.184629922369,2269.85471227183,0.204588696944535,0.383190708250922,0.411959957577421,,,,,,12.086,,,,0,,0,,,4.03282535,24.439,8.26384041,3.52729595,8.61503829,,,12.353,,0,4.853,6.15846153846154,27.76,1.2124,19.711867812,21.565868462,8.562230103,58.5532,40.3741,18.0538,2,1,59.923,63.5742857142857,,,,,7.95,7.96,,7.04,6.53,,,,28.12,28.12,1.1923,16.5579,2269.85471227183,377.184629922369,88.9538743545454,1101.96791596428,377.184629922369,20.147299125,,33.527476,,-0.0128022759601707,0,2.3300434782609,-0.359999999999999,0.0201,0.000877558007291057,0.000963295314833543,0.0388839590517981,0.0168581732785373,1.30546153846154,1.548
2006-04-01,,,70.4421052631579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.908665966498022,8.24,6.93,1167.28492084972,88.9538743545454,752.749223995696,396.041014667005,446.684809039268,416.473464314081,2328.28484576116,0.211990633910468,0.418609360815428,0.433739455489899,,,,,,12.293,,,,0,,0,,,3.33817505,23.652,8.39149087,3.63347589,8.28885819,,,11.359,,0,5.069,6.06833333333333,27.27,1.2636,15.746804415,20.046113765,8.377093308,55.0376,39.296,18.263,2,1,62.2530434782609,59.923,63.5742857142857,,,,7.99,7.95,7.96,6.88,7.04,6.53,,,27.76,28.12,1.2124,18.0538,2269.85471227183,377.184629922369,88.9538743545454,1101.96791596428,377.184629922369,21.565868462,0.374278018700434,33.656224,,-0.0176512968299713,-0.0128022759601707,8.189061784897,-0.490000000000002,0.0512000000000001,-0.00320741363957655,-0.00351738926636126,0.131544761948172,0.0422302870339823,0.999333333333333,1.30546153846154
2006-05-01,,,70.1872727272727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.925964747814737,8.28,6.92,1167.28492084972,42.4210309739215,752.749223995696,396.041014667005,446.684809039268,416.473464314081,2328.28484576116,0.220272980992545,0.440141502391278,0.441817197715154,,,,,,13.849,,,,0,,0,,,3.39748887,26.77,9.75394979,4.53341142,9.08514992,,,12.921,,0,5.113,6.04444444444444,26.98,1.2816,15.423992787,22.160940827,10.26083059565,54.4659,40.7145,17.7133,2,1,70.4421052631579,62.2530434782609,59.923,63.5742857142857,,,8.24,7.99,7.95,6.93,6.88,7.04,6.53,,27.27,27.76,1.2636,18.263,2328.28484576116,416.473464314081,42.4210309739215,1167.28492084972,416.473464314081,20.046113765,0.38378009786957,34.458372,,-0.0106343967730106,-0.0176512968299713,-0.2548325358852,-0.289999999999999,0.018,0.0172987813167144,0.0190375583047129,-0.00361761669293096,0.0142450142450143,0.931444444444444,0.999333333333333
2006-06-01,,,68.8577272727273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.921779402899705,8.29,7.1,1167.28492084972,42.4210309739215,752.749223995696,396.041014667005,446.684809039268,416.473464314081,2328.28484576116,0.219919145733588,0.433232444350338,0.465941304716925,,,,,,10.66,,,,0,,0,,,3.32293367,25.137,9.37095131,3.91829864,8.52481638,,,14.477,,0,5.138,6.0675,27.08,1.2794,15.109797098,21.630308238,8.409425394,48.9338,39.5592,17.2691,2,1,70.1872727272727,70.4421052631579,62.2530434782609,59.923,63.5742857142857,,8.28,8.24,7.99,6.92,6.93,6.88,7.04,6.53,26.98,27.27,1.2816,17.7133,2328.28484576116,416.473464314081,42.4210309739215,1167.28492084972,416.473464314081,22.160940827,0.383190708250922,34.577568,,0.00370644922164558,-0.0106343967730106,-1.3295454545454,0.0999999999999979,-0.00219999999999998,-0.00418534491503186,-0.00451998299601493,-0.0189428282775942,-0.00171660424469412,0.9295,0.931444444444444
2006-07-01,,,73.8971428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.916886925107805,8.58,6.86,1229.1420034368,42.4210309739215,763.469680802359,417.266633110688,464.38837633993,451.421187894085,2467.49501384346,0.224452475575555,0.455095595190236,0.473532436742084,,,,,,12.003,,,,0,,0,,,3.43705462,25.482,8.87867488,4.32950929,8.83676121,,,13.479,,0,4.988,6.05,26.87,1.2776,15.313061757,19.509472238,9.14300469,49.8892,40.9389,19.0881,2,1,68.8577272727273,70.1872727272727,70.4421052631579,62.2530434782609,59.923,63.5742857142857,8.29,8.28,8.24,7.1,6.92,6.93,6.88,7.04,27.08,26.98,1.2794,17.2691,2328.28484576116,416.473464314081,42.4210309739215,1167.28492084972,416.473464314081,21.630308238,0.418609360815428,34.646152,,-0.00775480059084185,0.00370644922164558,5.03941558441559,-0.209999999999997,-0.00180000000000002,-0.00489247779189994,-0.00530764494900769,0.0731859122282064,-0.0014069094888229,1.062,0.9295
2006-08-01,,,73.6121739130435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.914350780100972,8.71,7.23,1229.1420034368,70.5838849394572,763.469680802359,417.266633110688,464.38837633993,451.421187894085,2467.49501384346,0.226285033418834,0.463364456177395,0.481549821409673,,,,,,13.613,,,,0,,0,,,3.37400802,27.853,10.42292175,4.35424034,9.70182989,,,14.24,,0,4.732,6.05,26.74,1.2815,14.910433841,22.49400361,9.0421388326,50.3449,41.3322,19.0064,2,1,73.8971428571429,68.8577272727273,70.1872727272727,70.4421052631579,62.2530434782609,59.923,8.58,8.29,8.28,6.86,7.1,6.92,6.93,6.88,26.87,27.08,1.2776,19.0881,2467.49501384346,451.421187894085,70.5838849394572,1229.1420034368,451.421187894085,19.509472238,0.440141502391278,34.329112,,-0.00483810941570534,-0.00775480059084185,-0.28496894409939,-0.130000000000003,0.00390000000000001,-0.00253614500683275,-0.00276603901460865,-0.00385629177369264,0.00305259862241704,1.318,1.062
2006-09-01,,,62.7719047619048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.911775268156145,8.77,7.65,1229.1420034368,70.5838849394572,763.469680802359,417.266633110688,464.38837633993,451.421187894085,2467.49501384346,0.228509998330911,0.429206116373363,0.451911478928875,,,,,,11.05,,,,0,,0,,,3.39455452,25.392,8.62074111,3.82021886,9.55648551,,,14.342,,0,4.633,6.084,26.78,1.2675,14.85516846,20.085317476,8.4534671902,50.713,39.7764,18.2138,2,1,73.6121739130435,73.8971428571429,68.8577272727273,70.1872727272727,70.4421052631579,62.2530434782609,8.71,8.58,8.29,7.23,6.86,7.1,6.92,6.93,26.74,26.87,1.2815,19.0064,2467.49501384346,451.421187894085,70.5838849394572,1229.1420034368,451.421187894085,22.49400361,0.433232444350338,34.26731,,0.00149588631264034,-0.00483810941570534,-10.8402691511387,0.0400000000000027,-0.014,-0.00257551194482752,-0.0028167657324502,-0.147261907574474,-0.0109246976199766,1.451,1.318
2006-10-01,,,58.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.902356570325708,8.97,7.2,1294.06507908222,70.5838849394572,747.487394689651,434.968790511153,512.595709445261,490.515834933324,2544.67023883784,0.218271968633485,0.392321132623414,0.416926710350607,,,,,,8.228,,,,0,,0,,,2.90483117,24.049,8.16994237,3.63794993,9.33627653,,,15.821,,0,4.606,6.1675,26.75,1.2767,13.308310674,20.824629852,8.7256341215,54.5415,41.0929,19.0752,2,1,62.7719047619048,73.6121739130435,73.8971428571429,68.8577272727273,70.1872727272727,70.4421052631579,8.77,8.71,8.58,7.65,7.23,6.86,7.1,6.92,26.78,26.74,1.2675,18.2138,2467.49501384346,451.421187894085,70.5838849394572,1229.1420034368,451.421187894085,20.085317476,0.455095595190236,33.94365,,-0.0011202389843167,0.00149588631264034,-4.3919047619048,-0.0300000000000011,0.00919999999999987,-0.00941869783043647,-0.0103300650493445,-0.0699660903801372,0.00725838264299793,1.5615,1.451
